Date,Price
29/12/1978,226.00
01/01/1979,226.00
02/01/1979,226.80
03/01/1979,218.60
04/01/1979,223.20
05/01/1979,225.50
08/01/1979,223.10
09/01/1979,224.00
10/01/1979,220.70
11/01/1979,220.70
12/01/1979,217.60
15/01/1979,216.90
16/01/1979,220.70
17/01/1979,227.30
18/01/1979,231.80
19/01/1979,230.60
22/01/1979,235.00
23/01/1979,230.00
24/01/1979,236.10
25/01/1979,233.90
26/01/1979,235.50
29/01/1979,235.20
30/01/1979,233.50
31/01/1979,233.70
01/02/1979,229.40
02/02/1979,230.30
05/02/1979,243.10
06/02/1979,244.50
07/02/1979,251.60
08/02/1979,250.50
09/02/1979,246.80
12/02/1979,244.30
13/02/1979,240.60
14/02/1979,240.70
15/02/1979,247.80
16/02/1979,247.10
19/02/1979,248.10
20/02/1979,247.00
21/02/1979,250.80
22/02/1979,252.40
23/02/1979,251.00
26/02/1979,248.60
27/02/1979,247.90
28/02/1979,251.30
01/03/1979,248.80
02/03/1979,248.00
05/03/1979,238.20
06/03/1979,239.80
07/03/1979,242.30
08/03/1979,239.20
09/03/1979,241.00
12/03/1979,240.00
13/03/1979,239.10
14/03/1979,239.50
15/03/1979,240.10
16/03/1979,244.00
19/03/1979,242.30
20/03/1979,242.10
21/03/1979,239.90
22/03/1979,242.90
23/03/1979,242.50
26/03/1979,245.30
27/03/1979,244.40
28/03/1979,244.40
29/03/1979,241.50
30/03/1979,240.10
02/04/1979,239.70
03/04/1979,240.00
04/04/1979,239.80
05/04/1979,240.70
06/04/1979,239.80
09/04/1979,240.20
10/04/1979,239.80
11/04/1979,238.40
12/04/1979,234.00
13/04/1979,234.00
16/04/1979,234.00
17/04/1979,231.90
18/04/1979,233.20
19/04/1979,240.90
20/04/1979,236.40
23/04/1979,236.90
24/04/1979,239.70
25/04/1979,241.80
26/04/1979,242.20
27/04/1979,243.70
30/04/1979,245.30
01/05/1979,247.30
02/05/1979,246.30
03/05/1979,246.50
04/05/1979,248.50
07/05/1979,248.50
08/05/1979,249.00
09/05/1979,248.00
10/05/1979,252.30
11/05/1979,251.50
14/05/1979,251.00
15/05/1979,255.50
16/05/1979,256.50
17/05/1979,256.80
18/05/1979,256.40
21/05/1979,262.00
22/05/1979,265.40
23/05/1979,264.20
24/05/1979,263.80
25/05/1979,270.60
28/05/1979,270.60
29/05/1979,273.80
30/05/1979,270.30
31/05/1979,274.60
01/06/1979,275.10
04/06/1979,272.90
05/06/1979,274.80
06/06/1979,280.00
07/06/1979,276.10
08/06/1979,280.00
11/06/1979,282.40
12/06/1979,277.80
13/06/1979,276.60
14/06/1979,279.00
15/06/1979,280.00
18/06/1979,278.00
19/06/1979,280.30
20/06/1979,281.40
21/06/1979,282.30
22/06/1979,283.50
25/06/1979,283.90
26/06/1979,281.50
27/06/1979,281.80
28/06/1979,275.90
29/06/1979,277.50
02/07/1979,282.50
03/07/1979,281.40
04/07/1979,283.50
05/07/1979,288.30
06/07/1979,290.30
09/07/1979,287.90
10/07/1979,290.50
11/07/1979,290.30
12/07/1979,290.80
13/07/1979,287.50
16/07/1979,292.80
17/07/1979,296.30
18/07/1979,302.20
19/07/1979,299.20
20/07/1979,298.80
23/07/1979,304.90
24/07/1979,305.30
25/07/1979,303.40
26/07/1979,305.20
27/07/1979,305.80
30/07/1979,301.40
31/07/1979,296.50
01/08/1979,290.10
02/08/1979,291.50
03/08/1979,286.50
06/08/1979,282.70
07/08/1979,285.10
08/08/1979,289.00
09/08/1979,297.10
10/08/1979,303.80
13/08/1979,298.80
14/08/1979,292.00
15/08/1979,301.90
16/08/1979,297.90
17/08/1979,300.60
20/08/1979,298.80
21/08/1979,300.50
22/08/1979,311.00
23/08/1979,310.10
24/08/1979,314.80
27/08/1979,314.80
28/08/1979,316.80
29/08/1979,315.20
30/08/1979,319.20
31/08/1979,315.10
03/09/1979,322.90
04/09/1979,325.00
05/09/1979,329.00
06/09/1979,335.50
07/09/1979,329.20
10/09/1979,336.30
11/09/1979,339.50
12/09/1979,337.10
13/09/1979,333.00
14/09/1979,345.80
17/09/1979,351.80
18/09/1979,375.80
19/09/1979,369.00
20/09/1979,380.00
21/09/1979,369.00
24/09/1979,380.40
25/09/1979,376.70
26/09/1979,373.80
27/09/1979,395.50
28/09/1979,397.30
01/10/1979,414.80
02/10/1979,426.00
03/10/1979,402.00
04/10/1979,384.00
05/10/1979,385.00
08/10/1979,372.00
09/10/1979,385.80
10/10/1979,413.00
11/10/1979,401.50
12/10/1979,395.00
15/10/1979,402.90
16/10/1979,394.30
17/10/1979,386.00
18/10/1979,380.50
19/10/1979,393.00
22/10/1979,392.00
23/10/1979,385.00
24/10/1979,395.00
25/10/1979,391.80
26/10/1979,375.00
29/10/1979,374.00
30/10/1979,377.60
31/10/1979,382.00
01/11/1979,378.50
02/11/1979,372.80
05/11/1979,381.00
06/11/1979,384.30
07/11/1979,395.00
08/11/1979,389.50
09/11/1979,389.50
12/11/1979,393.30
13/11/1979,387.20
14/11/1979,390.00
15/11/1979,386.00
16/11/1979,390.40
19/11/1979,389.90
20/11/1979,387.80
21/11/1979,396.20
22/11/1979,393.20
23/11/1979,392.00
26/11/1979,395.30
27/11/1979,393.80
28/11/1979,411.20
29/11/1979,411.70
30/11/1979,415.70
03/12/1979,428.80
04/12/1979,431.20
05/12/1979,426.40
06/12/1979,433.80
07/12/1979,430.40
10/12/1979,431.20
11/12/1979,445.50
12/12/1979,446.30
13/12/1979,458.80
14/12/1979,456.80
17/12/1979,469.50
18/12/1979,477.80
19/12/1979,488.50
20/12/1979,471.50
21/12/1979,473.10
24/12/1979,473.10
25/12/1979,473.10
26/12/1979,473.10
27/12/1979,473.10
28/12/1979,512.00
31/12/1979,512.00
01/01/1980,512.00
02/01/1980,559.50
03/01/1980,634.00
04/01/1980,588.00
07/01/1980,633.50
08/01/1980,610.00
09/01/1980,607.20
10/01/1980,602.90
11/01/1980,623.00
14/01/1980,660.00
15/01/1980,684.00
16/01/1980,760.00
17/01/1980,750.00
18/01/1980,835.00
21/01/1980,850.00
22/01/1980,737.50
23/01/1980,695.00
24/01/1980,717.00
25/01/1980,668.00
28/01/1980,624.00
29/01/1980,674.30
30/01/1980,691.00
31/01/1980,653.00
01/02/1980,676.50
04/02/1980,669.80
05/02/1980,682.00
06/02/1980,709.00
07/02/1980,699.30
08/02/1980,692.00
11/02/1980,710.50
12/02/1980,694.50
13/02/1980,696.80
14/02/1980,682.00
15/02/1980,667.00
18/02/1980,661.50
19/02/1980,652.30
20/02/1980,606.00
21/02/1980,665.00
22/02/1980,630.00
25/02/1980,616.50
26/02/1980,642.30
27/02/1980,636.00
28/02/1980,646.00
29/02/1980,637.00
03/03/1980,633.80
04/03/1980,631.30
05/03/1980,643.50
06/03/1980,626.00
07/03/1980,609.00
10/03/1980,585.00
11/03/1980,570.30
12/03/1980,585.70
13/03/1980,556.50
14/03/1980,523.00
17/03/1980,484.00
18/03/1980,481.50
19/03/1980,527.00
20/03/1980,561.00
21/03/1980,525.00
24/03/1980,558.30
25/03/1980,547.30
26/03/1980,507.50
27/03/1980,485.30
28/03/1980,490.00
31/03/1980,494.50
01/04/1980,509.50
02/04/1980,500.50
03/04/1980,485.80
04/04/1980,485.80
07/04/1980,485.80
08/04/1980,528.00
09/04/1980,554.00
10/04/1980,526.00
11/04/1980,530.50
14/04/1980,529.80
15/04/1980,497.50
16/04/1980,520.00
17/04/1980,513.00
18/04/1980,515.60
21/04/1980,506.00
22/04/1980,502.40
23/04/1980,506.50
24/04/1980,515.70
25/04/1980,551.50
28/04/1980,524.30
29/04/1980,513.80
30/04/1980,518.00
01/05/1980,490.00
02/05/1980,512.50
05/05/1980,512.50
06/05/1980,512.50
07/05/1980,510.00
08/05/1980,515.80
09/05/1980,508.30
12/05/1980,513.30
13/05/1980,512.00
14/05/1980,525.00
15/05/1980,517.00
16/05/1980,516.50
19/05/1980,513.80
20/05/1980,507.80
21/05/1980,513.50
22/05/1980,501.00
23/05/1980,511.30
26/05/1980,511.30
27/05/1980,514.80
28/05/1980,526.50
29/05/1980,519.60
30/05/1980,535.50
02/06/1980,561.50
03/06/1980,552.50
04/06/1980,571.50
05/06/1980,581.80
06/06/1980,597.00
09/06/1980,623.80
10/06/1980,604.00
11/06/1980,596.00
12/06/1980,590.00
13/06/1980,608.40
16/06/1980,595.00
17/06/1980,591.80
18/06/1980,602.50
19/06/1980,599.00
20/06/1980,602.90
23/06/1980,596.50
24/06/1980,603.00
25/06/1980,622.50
26/06/1980,624.50
27/06/1980,637.50
30/06/1980,653.50
01/07/1980,660.00
02/07/1980,661.50
03/07/1980,663.50
04/07/1980,666.50
07/07/1980,667.50
08/07/1980,687.50
09/07/1980,671.00
10/07/1980,656.50
11/07/1980,667.00
14/07/1980,650.00
15/07/1980,619.50
16/07/1980,624.80
17/07/1980,627.30
18/07/1980,606.00
21/07/1980,617.50
22/07/1980,613.00
23/07/1980,631.30
24/07/1980,643.00
25/07/1980,651.80
28/07/1980,643.50
29/07/1980,646.80
30/07/1980,629.00
31/07/1980,614.30
01/08/1980,622.00
04/08/1980,630.80
05/08/1980,630.50
06/08/1980,627.80
07/08/1980,629.50
08/08/1980,630.00
11/08/1980,617.00
12/08/1980,605.00
13/08/1980,615.30
14/08/1980,626.00
15/08/1980,624.50
18/08/1980,612.30
19/08/1980,624.00
20/08/1980,634.80
21/08/1980,645.30
22/08/1980,639.20
25/08/1980,639.20
26/08/1980,628.90
27/08/1980,633.90
28/08/1980,635.30
29/08/1980,631.30
01/09/1980,628.80
02/09/1980,640.00
03/09/1980,636.80
04/09/1980,647.30
05/09/1980,651.00
08/09/1980,672.00
09/09/1980,670.50
10/09/1980,686.50
11/09/1980,674.00
12/09/1980,685.50
15/09/1980,666.50
16/09/1980,668.00
17/09/1980,673.00
18/09/1980,672.00
19/09/1980,674.00
22/09/1980,710.00
23/09/1980,711.00
24/09/1980,710.50
25/09/1980,697.80
26/09/1980,698.80
29/09/1980,679.30
30/09/1980,666.80
01/10/1980,682.00
02/10/1980,665.80
03/10/1980,660.50
06/10/1980,675.50
07/10/1980,678.20
08/10/1980,677.00
09/10/1980,690.00
10/10/1980,685.30
