Date,U.S. Crude Oil Proved Reserves (Million Barrels),
1900,2900,
1901,3000,
1902,3200,
1903,3400,
1904,3600,
1905,3800,
1906,3800,
1907,3900,
1908,4000,
1909,4200,
1910,4500,
1911,5000,
1912,5400,
1913,5500,
1914,5400,
1915,5500,
1916,5900,
1917,5900,
1918,6200,
1919,6700,
1920,7200,
1921,7800,
1922,7600,
1923,7600,
1924,7500,
1925,8500,
1926,8800,
1927,10500,
1928,11000,
1929,13200,
1930,13600,
1931,13000,
1932,12300,
1933,12000,
1934,12177,
1935,12400,
1936,13063,
1937,15507,
1938,17348,
1939,18483,
1940,19025,
1941,19559,
1942,20083,
1943,20064,
1944,20453,
1945,20827,
1946,20874,
1947,21488,
1948,23280,
1949,24649,
1950,25268,
1951,27468,
1952,27961,
1953,28945,
1954,29561,
1955,30012,
1956,30435,
1957,30300,
1958,30536,
1959,31719,
1960,31613,
1961,31759,
1962,31389,
1963,30970,
1964,30991,
1965,31352,
1966,31452,
1967,31377,
1968,30707,
1969,29632,
1970,39001,
1971,38063,
1972,36339,
1973,35300,
1974,32250,
1975,32682,
1976,30942,
1977,31780,
1978,31355,
1979,29810,
1980,29805,
1981,29426,
1982,27858,
1983,27735,
1984,28446,
1985,28416,
1986,26889,
1987,27256,
1988,26825,
1989,26501,
1990,26254,
1991,24682,
1992,23745,
1993,22957,
1994,22457,
1995,22351,
1996,22017,
1997,22546,
1998,21034,
1999,21765,
2000,22045,
2001,22446,
2002,22677,
2003,21891,
2004,21371,
2005,21757,
2006,20972,
2007,21317,
2008,19121,
2009,20682,
2010,23267,
2011,26544,
2012,30529,
2013,33371,
2014,36385,
2015,32318,
2016,32773,
2017,39160,
2018,43824,
,,
